,Tender Link,Title,Buyer,Supplier,Bid Price
321,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
322,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
323,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
324,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
325,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
326,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
327,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
328,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
329,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
330,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
331,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
332,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
333,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
334,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
335,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
336,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
337,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
338,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
339,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
340,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
341,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
342,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
343,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
344,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
345,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
346,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
347,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
348,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
349,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
350,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
351,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
352,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
353,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
354,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
355,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
356,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
357,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
358,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
359,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
360,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
361,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
362,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
363,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
364,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
365,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
366,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
367,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
368,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
369,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
370,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
371,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
372,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
373,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
374,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
375,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
376,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
377,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
378,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
379,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
380,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
381,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
382,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
383,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
384,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
385,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
386,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
387,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
388,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
389,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
390,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
391,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
392,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
393,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
394,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
395,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
396,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
397,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
398,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
399,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
400,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
401,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
402,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
403,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
404,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
405,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
406,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
407,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
408,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
409,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
410,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
411,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
412,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
413,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
414,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
415,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
416,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
417,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
418,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
419,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
420,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
421,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
422,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
423,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
424,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
425,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
426,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
427,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
428,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
429,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
430,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
431,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
432,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
433,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
434,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
435,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
436,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
437,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
438,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
439,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
440,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
441,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
442,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
443,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
444,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
445,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
446,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
447,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
448,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
449,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
450,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
451,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
452,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
453,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
454,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
455,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
456,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
457,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
458,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
459,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
460,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
461,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
462,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
463,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
464,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
465,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
466,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
467,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
468,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
469,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
470,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
471,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
472,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
473,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
474,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
475,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
476,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
477,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
478,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
479,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
480,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
